100 3
2500072 2500026 2500025 
2500017 2500023 2500021 
2500071 2500037 2500010 
2500064 2500084 2499980 
2500015 2500013 2500076 
2499994 2500054 2500067 
2499997 2500098 2500023 
2500036 2500014 2500065 
2500044 2500049 2500019 
2500021 2500075 2500028 
2500052 2500021 2500040 
2500032 2500027 2500046 
2500038 2500017 2500011 
2500033 2500009 2500047 
2500085 2499988 2500029 
2500071 2500033 2500030 
2500044 2500025 2500036 
2500076 2500026 2500036 
2500031 2500027 2500048 
2500008 2500098 2500023 
2500051 2499996 2500067 
2500045 2500053 2500007 
2500110 2500014 2499995 
2500079 2500006 2500025 
2500024 2500081 2500026 
2499979 2500040 2500067 
2500010 2500048 2500080 
2500059 2499983 2500025 
2500034 2500016 2500074 
2500019 2500012 2500081 
2500000 2500111 2500030 
2500078 2500001 2500033 
2500058 2500061 2500008 
2500043 2499974 2500076 
2500072 2500044 2500026 
2500006 2500036 2500031 
2500043 2500037 2500061 
2500022 2500048 2500056 
2500033 2500101 2499986 
2500004 2500000 2500072 
2500045 2500026 2500052 
2499991 2500062 2500034 
2500068 2500045 2500027 
2500081 2500043 2500003 
2500028 2500005 2500074 
2500053 2500040 2500051 
2500078 2499980 2500050 
2500044 2500047 2500014 
2499981 2500055 2500052 
2500038 2500019 2500047 
2500046 2500044 2500057 
2500014 2500040 2500061 
2500048 2500003 2500051 
2500060 2500004 2500048 
2500058 2500018 2500070 
2500086 2500063 2499985 
2500052 2500060 2500020 
2500053 2500002 2500025 
2499998 2500013 2500086 
2500103 2500021 2500022 
2500019 2500039 2500034 
2500040 2500098 2499981 
2500010 2500035 2500052 
2500095 2500032 2499996 
2500069 2500050 2500010 
2500017 2500074 2500006 
2500022 2499985 2500079 
2500047 2500041 2500014 
2500000 2500044 2500114 
2500055 2499980 2500102 
2500047 2499989 2500055 
2500077 2500031 2500022 
2500009 2500011 2500107 
2500079 2500002 2500039 
2500014 2500085 2500029 
2499987 2500056 2500054 
2500056 2500002 2500068 
2499992 2500077 2500052 
2500100 2500011 2499993 
2500011 2500045 2500025 
2500043 2500006 2500095 
2499970 2500046 2500078 
2500033 2500065 2500014 
2499968 2500040 2500077 
2500044 2499980 2500103 
2500021 2500074 2500034 
2500024 2500058 2500045 
2499978 2500089 2500049 
2500085 2500047 2499985 
2499963 2500053 2500076 
2500027 2500045 2500021 
2500069 2500055 2499972 
2500049 2500068 2499999 
2500016 2500086 2500018 
2499986 2500069 2500041 
2500025 2500025 2500093 
2500024 2500095 2499960 
2500040 2500000 2500090 
2499991 2500071 2500034 
2500028 2500080 2500004 
