100 3
38 38 38 
96 96 96 
73 73 73 
57 57 57 
81 81 81 
36 36 36 
117 117 117 
62 62 62 
64 64 64 
110 110 110 
123 123 123 
81 81 81 
65 65 65 
97 97 97 
112 112 112 
81 81 81 
51 51 51 
100 100 100 
65 65 65 
95 95 95 
83 83 83 
112 112 112 
78 78 78 
70 70 70 
83 83 83 
72 72 72 
20 20 20 
75 75 75 
66 66 66 
56 56 56 
55 55 55 
111 111 111 
47 47 47 
65 65 65 
87 87 87 
48 48 48 
106 106 106 
56 56 56 
101 101 101 
43 43 43 
29 29 29 
53 53 53 
112 112 112 
95 95 95 
75 75 75 
56 56 56 
74 74 74 
73 73 73 
60 60 60 
94 94 94 
86 86 86 
50 50 50 
120 120 120 
94 94 94 
135 135 135 
117 117 117 
46 46 46 
63 63 63 
103 103 103 
104 104 104 
110 110 110 
55 55 55 
9 9 9 
89 89 89 
106 106 106 
98 98 98 
84 84 84 
84 84 84 
77 77 77 
37 37 37 
90 90 90 
100 100 100 
85 85 85 
113 113 113 
29 29 29 
91 91 91 
99 99 99 
95 95 95 
123 123 123 
69 69 69 
85 85 85 
31 31 31 
131 131 131 
73 73 73 
121 121 121 
80 80 80 
46 46 46 
61 61 61 
61 61 61 
46 46 46 
57 57 57 
98 98 98 
85 85 85 
85 85 85 
36 36 36 
96 96 96 
93 93 93 
76 76 76 
109 109 2000
60 60 60 
