100 3
0 85 29 
123 89 73 
53 136 125 
113 26 131 
108 78 46 
2 13 55 
22 25 150 
68 18 0 
1 57 81 
87 91 92 
25 101 68 
53 8 92 
119 122 79 
46 133 110 
145 141 82 
21 70 35 
131 31 118 
128 152 152 
93 59 40 
45 128 3 
57 14 103 
8 1 140 
42 41 89 
105 127 110 
73 31 113 
71 69 144 
113 16 91 
58 112 92 
87 55 23 
34 64 122 
78 151 114 
52 25 100 
75 9 106 
77 22 144 
21 138 105 
46 65 10 
147 104 23 
133 125 88 
29 27 124 
72 23 76 
111 61 42 
86 104 115 
110 72 18 
56 127 5 
78 101 65 
15 144 140 
83 52 71 
57 129 48 
69 41 149 
45 112 86 
29 116 128 
60 76 135 
4 151 87 
7 81 29 
128 95 100 
30 128 18 
16 113 47 
143 43 51 
21 111 127 
108 91 114 
38 22 0 
9 123 130 
32 17 84 
2 17 69 
114 104 82 
11 66 30 
106 44 66 
35 88 81 
95 24 76 
146 106 141 
28 51 27 
151 69 152 
14 95 14 
66 142 7 
136 44 34 
117 62 30 
95 92 68 
71 91 96 
130 126 95 
109 86 57 
28 112 84 
138 37 28 
92 106 89 
53 75 12 
113 93 94 
105 122 22 
87 132 139 
93 111 6 
101 149 48 
86 46 26 
16 132 129 
113 23 49 
12 11 97 
125 83 68 
62 45 71 
76 23 49 
112 47 126 
146 133 110 
45 144 19 
10 119 80 
